"","wave","rightT","leftT","rightE","leftE","right_UEI","left_UEI"
"1",10,1784851,2125923,37698804771442,13581125446574,9639729.82622928,3472746.1741778
"2",11,1108398,1613053,8171539665085,7783225784549,3002640.74755893,2859954.4083465
"3",12,908133,1133466,9752750678596,4252611057814,4777015.7991829,2082980.57444875
"4",13,910538,1956316,9647924734705,7046791469602,3365335.21926997,2458022.44188298
"5",14,1076250,2548959,28541088842369,10383144791192,7872949.90230053,2864150.67136598
"6",15,1197651,3113649,14722425858011,9200346926970,3414846.06916962,2134007.59097488
"7",16,1427030,3587720,4348745763070,12513443468062,867190.939342938,2495327.47755362
"8",17,1920637,2688474,12090728341729,11021197313439,2623223.51137323,2391176.37076629
"9",18,1570026,2678722,15212619503513,12652084449603,3580494.65478136,2977838.28309022
"10",19,2025194,2564186,29413526114857,17905879067447,6409041.33343872,3901589.98981279
"11",2,2228343,3185558,36660553019271,16634299919309,6771559.5499938,3072516.45704438
"12",20,1565118,1901748,17282659327158,11128699260987,4985095.85520698,3210017.1339149
"13",21,1245299,1259548,15512142014802,5063481170285,6192850.10813116,2021473.23580442
"14",22,1254537,1480508,28134895806601,9911476461935,10286812.7605217,3623880.58036888
"15",23,1223719,1497170,8828986043104,5931220108321,3244890.19695548,2179883.15889439
"16",24,1075507,2200932,9689589746103,7879754162613,2957353.9278781,2404975.08502768
"17",25,791025,1526724,6038279513577,5707926972115,2605234.43805908,2462702.80867989
"18",26,889278,1257499,6717551895594,4894935572214,3129133.53161227,2280132.29702666
"19",27,3424963,6719302,103716960321717,24337362249005,10224196.6590696,2399125.24455986
"20",28,1013250,2274117,10149258691906,8035496050726,3087351.88127946,2444356.24337836
"21",29,1089496,2388100,16325443060786,10483136679170,4694462.22643056,3014478.01273351
"22",3,1898553,3334917,30130805762492,18838871044555,5757328.45750372,3599690.27137922
"23",30,1527936,2051873,43329786551355,10943482123193,12103938.1015454,3057001.67891443
"24",31,1310942,1446883,21949324291788,6776331755628,7958925.70840717,2457128.98955808
"25",32,1609448,1551157,41980105947591,5712314832684,13282300.6821767,1807348.54013203
"26",33,1277947,1200742,28872702751344,5542082177597,11648376.5213562,2235892.51317814
"27",34,1531093,1969681,25370261698926,9015615798761,7247043.56777273,2575320.71443658
"28",35,303712,864325,472740674969,3374803529873,404730.907470397,2889295.0564691
"29",36,951166,1502729,2000326659891,6842277813828,815163.916912093,2788333.57328981
"30",37,677303,1025032,1588410598416,4411207475381,933077.566058384,2591268.7428626
"31",4,2530115,3874808,16014240597372,17093262676687,2500301.81430315,2668769.42575063
"32",5,2195835,3341767,30351421701513,21301719636265,5480968.42306706,3846740.81601838
"33",6,1990733,3138030,23964346550011,16479621314930,4672539.27506711,3213176.61099372
"34",7,1899190,3057871,26385672299734,20112381554589,5322845.9967981,4057319.76156618
"35",8,1462146,2498153,21008113002407,12703173143818,5304678.51099298,3207629.81376356
"36",9,1555208,2746930,30182627160423,17751489228232,7015727.33381007,4126201.72301121
